Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,OOD Detection Rate,OOD AUROC
Cityscapes OOD,Swin-B,3,2,(),3,0.926,0.753728
Cityscapes OOD,Swin-B,3,2,"('horizontalFlip',)",1,0.924,0.729816
Cityscapes OOD,Swin-B,3,2,"('horizontalFlip',)",2,0.922,0.727832
Cityscapes OOD,Swin-B,3,2,"('horizontalFlip',)",3,0.938,0.7342759999999999
Cityscapes OOD,Swin-B,3,3,(),1,0.91,0.726968
Cityscapes OOD,Swin-B,3,3,(),2,0.92,0.7224999999999999
Cityscapes OOD,Swin-B,3,3,(),3,0.9,0.725344
Cityscapes OOD,Swin-B,3,5,(),1,0.914,0.685428
Cityscapes OOD,Swin-B,3,5,(),2,0.926,0.686252
Cityscapes OOD,Swin-B,3,5,(),3,0.912,0.6806019999999999
Cityscapes OOD,Swin-B,5,0,(),1,0.766,0.645516
Cityscapes OOD,Swin-B,5,0,(),2,0.764,0.645896
Cityscapes OOD,Swin-B,5,0,(),3,0.762,0.63684
Cityscapes OOD,Swin-B,5,0,"('horizontalFlip',)",1,0.8,0.674312
